strain	sex	age	n	nosesniffmean	bodysniffmean	anogenitalsniffmean	overallse	nosesniffbarcolors	bodysniffbarcolors	anogenitalsniffbarcolors	btwnspace
C57BL/6J	female	30	14	3.786104918	8.060109836	0.4879	1.562705738	"#2300FFFF"	"#0097FFFF"	"#00FFDCFF"	1.6
BALB/cJ	female	30	26	6.116014754	7.124842623	0.966792787	1.017129836	"#FF2000FF"	"#FF9F00FF"	"#FFFF2AFF"	0
C57BL/6J	male	30	16	4.81557377	8.111339344	0.700136557	1.849209836	"#2300FFFF"	"#0097FFFF"	"#00FFDCFF"	0.8
BALB/cJ	male	30	26	4.791929508	6.76754918	0.767129016	0.958931967	"#FF2000FF"	"#FF9F00FF"	"#FFFF2AFF"	0
C57BL/6J	female	41	8	4.303278689	6.659836066	0	1.295436721	"#2300FFFF"	"#0097FFFF"	"#00FFDCFF"	1.6
BALB/cJ	female	41	4	9.426229508	7.786885246	0.409836066	1.359272459	"#FF2000FF"	"#FF9F00FF"	"#FFFF2AFF"	0
C57BL/6J	male	41	10	3.442622951	4.836065574	0.245901639	1.127856066	"#2300FFFF"	"#0097FFFF"	"#00FFDCFF"	0.8
BALB/cJ	male	41	6	6.284152459	4.781421311	0.136612016	0.914382623	"#FF2000FF"	"#FF9F00FF"	"#FFFF2AFF"	0
C57BL/6J	female	69	10	2.131147541	4.344262295	0.655737705	0.855762787	"#2300FFFF"	"#0097FFFF"	"#00FFDCFF"	1.6
BALB/cJ	female	69	8	3.278688525	6.25	0.614754098	0.875410164	"#FF2000FF"	"#FF9F00FF"	"#FFFF2AFF"	0
C57BL/6J	male	69	12	2.595627869	5.191257377	0.478142131	0.975387541	"#2300FFFF"	"#0097FFFF"	"#00FFDCFF"	0.8
BALB/cJ	male	69	10	3.93442623	8.114754098	0.409836066	1.53005459	"#FF2000FF"	"#FF9F00FF"	"#FFFF2AFF"	0
